timestamp_ns,wx,wy,wz,ax,ay,az
1305031906964071936,0.0,0.0,0.0,0.778306,7.627394,-5.699591
1305031906965054976,0.0,0.0,0.0,0.778306,7.627394,-5.699591
1305031906968313088,0.0,0.0,0.0,0.862123,7.531603,-5.699591
1305031906969302784,0.0,0.0,0.0,0.862123,7.531603,-5.699591
1305031906973051904,0.0,0.0,0.0,0.682514,7.627394,-5.915122
1305031906973947904,0.0,0.0,0.0,0.682514,7.627394,-5.915122
1305031906977206016,0.0,0.0,0.0,0.862123,7.818977,-5.891174
1305031906978172160,0.0,0.0,0.0,0.862123,7.818977,-5.891174
1305031906981814016,0.0,0.0,0.0,0.778306,7.914769,-5.699591
1305031906982939904,0.0,0.0,0.0,0.778306,7.914769,-5.699591
1305031906984067840,0.0,0.0,0.0,0.778306,7.914769,-5.699591
1305031906985206016,0.0,0.0,0.0,0.778306,7.914769,-5.699591
1305031906988375040,0.0,0.0,0.0,0.826201,8.010560,-5.603800
1305031906989319168,0.0,0.0,0.0,0.826201,8.010560,-5.603800
1305031906992958976,0.0,0.0,0.0,0.778306,8.010560,-5.867226
1305031906993943808,0.0,0.0,0.0,0.778306,8.010560,-5.867226
1305031906997207040,0.0,0.0,0.0,0.862123,8.010560,-5.699591
1305031906998193920,0.0,0.0,0.0,0.862123,8.010560,-5.699591
1305031907001840128,0.0,0.0,0.0,0.862123,7.962665,-5.891174
1305031907002831104,0.0,0.0,0.0,0.862123,7.962665,-5.891174
1305031907004090112,0.0,0.0,0.0,0.862123,7.962665,-5.891174
1305031907005217024,0.0,0.0,0.0,0.862123,7.962665,-5.891174
1305031907008410880,0.0,0.0,0.0,0.862123,7.962665,-5.699591
1305031907009336064,0.0,0.0,0.0,0.862123,7.962665,-5.699591
1305031907012944896,0.0,0.0,0.0,0.862123,8.010560,-5.891174
1305031907013947136,0.0,0.0,0.0,0.862123,8.010560,-5.891174
1305031907017211904,0.0,0.0,0.0,0.910019,7.914769,-5.986966
1305031907018194944,0.0,0.0,0.0,0.910019,7.914769,-5.986966
1305031907021817088,0.0,0.0,0.0,0.957915,7.818977,-6.298288
1305031907022792192,0.0,0.0,0.0,0.957915,7.818977,-6.298288
1305031907024071936,0.0,0.0,0.0,0.957915,7.818977,-6.298288
1305031907025217024,0.0,0.0,0.0,0.957915,7.818977,-6.298288
1305031907028190976,0.0,0.0,0.0,1.053706,7.627394,-5.986966
1305031907029349120,0.0,0.0,0.0,1.053706,7.627394,-5.986966
1305031907032992000,0.0,0.0,0.0,0.862123,7.675290,-6.082757
1305031907033957888,0.0,0.0,0.0,0.862123,7.675290,-6.082757
